id;total_amount;created_date;user_idp_code;payment_done
1;84651;2020-02-25T00:11:15;vertical Investor Svalbard & Jan Mayen Islands;false
2;18587;2020-02-24T11:49:58;Argentina back-end;true
3;35765;2020-02-24T15:48:51;Tunnel Home Loan Account secured line;true
4;67835;2020-02-24T13:36:04;Handcrafted Steel Chicken Brooks platforms;true
5;7229;2020-02-25T10:07:15;array seize feed;true
6;99618;2020-02-25T02:06:53;Steel Tajikistan;true
7;42963;2020-02-25T06:01:53;Swedish Krona;true
8;81614;2020-02-24T22:09:07;strategize mobile grey;false
9;97052;2020-02-24T15:17:38;Rubber Games;false
10;80115;2020-02-24T13:58:45;Handmade Wooden Chips;true
