id;created_date;user_idp_code;rating;comment
1;2020-02-24T14:42:23;mindshare Team-oriented Intranet;52024;Kentucky interface
2;2020-02-24T19:33:34;Credit Card Account Handcrafted Soft Chicken virtual;41575;New Jersey Nigeria
3;2020-02-24T22:38:32;Niger Beauty;68796;GB open-source North Dakota
4;2020-02-24T15:10:04;Locks Garden;5632;enable Compatible
5;2020-02-24T15:30:17;granular Credit Card Account Checking Account;69078;markets Greens Product
6;2020-02-25T02:19:12;Technician Small Frozen Shirt payment;51150;Lesotho
7;2020-02-25T08:32:11;Credit Card Account Arkansas deliver;9869;Georgia Mexico
8;2020-02-24T12:52:20;SMTP Awesome Granite Soap;47036;Czech Koruna
9;2020-02-25T02:02:52;application;98856;Extended Checking Account Chief
10;2020-02-24T13:13:43;Creative Cambridgeshire;9677;composite Checking Account
